fecha	rondas	tirosRonda	cuantil	tirosFinal	tiros_total	tasa_eleccion_correcta	ganancia
20220522 125107	12	9	0.400216315271751	71	-1	0	0
20220522 125236	14	93	0.277361096519397	500	-1	0	0
20220522 125334	1	79	0.792696480815748	732	23272	0.9596	0.804453333333333
20220522 125336	1	129	0.812146631438109	807	28233	0.9908	0.80258
20220522 125336	1	136	0.827118491204886	918	30124	0.9912	0.790373333333333
20220522 125337	1	140	0.807650566528467	984	33680	0.9946	0.770066666666667
20220522 125422	9	145	0.581527487526936	488	-1	0	0
20220522 125503	1	59	0.806093027603432	322	12340	0.896	0.896
20220522 125504	1	83	0.807242937475616	290	14100	0.9336	0.9336
20220522 125518	2	131	0.807075807277764	689	18476	0.9652	0.842026666666667
20220522 125523	43	61	0.773640585506705	899	-1	0	0
20220522 125533	3	144	0.638832736902197	868	25796	0.9868	0.814826666666667
20220522 125613	1	87	0.791225124048752	333	15693	0.962	0.85738
20220522 125637	3	21	0.407806322279243	980	24654	0.7818	0.61744
20220522 125645	3	128	0.582989610458011	798	26864	0.991	0.811906666666667
20220522 125659	4	102	0.399204113164113	792	32532	0.9918	0.77492
20220522 125709	5	106	0.398516438024216	771	30654	0.9894	0.78504
20220522 125746	1	111	0.806765025087638	332	17740	0.9762	0.857933333333333
20220522 125757	2	95	0.813016031808259	260	12345	0.892	0.892
20220522 125802	2	170	0.702468065077168	414	25826	0.9938	0.821626666666667
20220522 125807	3	52	0.636609397169192	419	9843	0.8112	0.8112
20220522 125810	3	74	0.637816326211066	440	13226	0.8948	0.8948
20220522 125907	2	84	0.725795530700409	544	15104	0.938	0.837306666666667
20220522 125912	2	126	0.641581437683151	545	24221	0.9898	0.828326666666667
20220522 125943	38	26	0.506625201496969	864	-1	0	0
20220522 130045	28	94	0.443551013731819	436	-1	0	0
20220522 130255	21	86	0.107170227914352	191	68484	0.8938	0.43724
20220522 130346	2	65	0.730147615924929	85	8935	0.729	0.729
20220522 130347	2	84	0.794897950571708	281	11569	0.884	0.884
20220522 130416	12	173	0.711218605949141	658	-1	0	0
20220522 130437	40	40	0.396585672311722	916	-1	0	0
20220522 130459	34	46	0.297987178337919	307	-1	0	0
20220522 130548	1	108	0.831946664295843	308	16036	0.9624	0.855493333333333
20220522 130609	2	107	0.808244554312798	409	14369	0.9316	0.9316
20220522 130618	2	155	0.51197410244183	418	33127	0.9952	0.774353333333333
20220522 130619	21	11	0.494457852932317	616	-1	0	0
20220522 130641	23	66	0.614589371319365	351	-1	0	0
20220522 130714	1	77	0.812700677725422	310	13590	0.9362	0.9362
20220522 130714	1	76	0.806485379201296	334	14280	0.937	0.937
20220522 130732	2	199	0.526614756094657	719	45071	1	0.699526666666667
20220522 130736	3	125	0.637143178572315	109	19170	0.5566	0.4288
20220522 130759	6	89	0.432025807137113	700	21947	0.928	0.781686666666667
20220522 130833	1	110	0.806967269263238	831	27620	0.9836	0.799466666666667
20220522 130853	3	50	0.644964293958089	668	10790	0.7822	0.7822
20220522 130859	3	92	0.641405727515988	603	16723	0.9384	0.826913333333333
20220522 130920	18	95	0.628188314764008	283	-1	0	0
20220522 130948	43	31	0.298244046631167	163	-1	0	0
20220522 131034	2	92	0.685971238988852	471	16854	0.9622	0.84984
20220522 131047	3	86	0.681433839038044	472	13628	0.905	0.905
20220522 131053	13	179	0.817165945874927	110	-1	0	0
20220522 131124	25	84	0.517973184928303	821	-1	0	0
20220522 131250	25	43	0.145358829519233	167	-1	0	0
20220522 131324	1	111	0.836317208092069	482	19294	0.9762	0.847573333333333
20220522 131336	3	24	0.606041428344654	93	4302	0.5116	0.5116
20220522 131348	3	80	0.629275124394986	550	14830	0.9314	0.9314
20220522 131349	3	86	0.630683106486938	668	16326	0.941	0.83216
20220522 131349	3	91	0.631076824105323	759	17536	0.9472	0.830293333333333
20220522 131451	3	73	0.626899262211208	445	13248	0.908	0.908
20220522 131451	3	73	0.625286240649249	444	13316	0.9146	0.9146
20220522 131515	11	145	0.645186365581761	946	-1	0	0
20220522 131550	28	84	0.347722489070153	266	-1	0	0
20220522 131642	42	28	0.138863062755942	679	-1	0	0
20220522 131724	2	79	0.806282906409207	305	10700	0.8518	0.8518
20220522 131725	2	87	0.806320279761581	306	11664	0.888	0.888
20220522 131729	2	99	0.713370394784385	482	17109	0.9594	0.84534
20220522 131731	2	139	0.679308342333786	190	20248	0.9366	0.801613333333333
20220522 131823	11	194	0.591014222254362	127	-1	0	0
20220522 131858	1	110	0.813570005413096	345	17555	0.9754	0.858366666666667
20220522 131909	2	116	0.656609325350974	276	18856	0.9658	0.840093333333333
20220522 131910	2	186	0.801376277741863	422	24008	0.9886	0.828546666666667
20220522 131911	2	139	0.657383153581656	409	23534	0.99	0.833106666666667
20220522 131920	3	102	0.622686755268165	745	19229	0.9648	0.836606666666667
20220522 131954	1	46	0.828727987701439	277	9309	0.8094	0.8094
20220522 132005	1	114	0.569835059918552	802	45886	0.9976	0.691693333333333
20220522 132008	2	105	0.801055602113394	709	15436	0.9304	0.827493333333333
20220522 132009	2	126	0.809616783276918	514	17050	0.9556	0.841933333333333
20220522 132027	7	143	0.741163438282254	866	-1	0	0
20220522 132105	9	38	0.851098418104758	929	-1	0	0
20220522 132110	2	85	0.720526216142144	306	13328	0.933	0.933
20220522 132111	2	120	0.795595459267285	588	17460	0.9542	0.8378
20220522 132115	1	180	0.239066193070116	753	75228	1	0.49848
20220522 132120	3	88	0.686999302656224	469	13815	0.908	0.908
20220522 132206	2	86	0.728789283131939	360	13802	0.9304	0.9304
20220522 132206	2	113	0.801208325736294	365	15020	0.9428	0.842666666666667
20220522 132208	2	128	0.730550717776823	313	18760	0.9736	0.848533333333333
20220522 132209	2	194	0.806519674709097	193	24052	0.96	0.799653333333333
20220522 132211	39	10	0.478697808476618	380	-1	0	0
20220522 132247	1	66	0.814371657368754	298	12262	0.9122	0.9122
20220522 132259	2	87	0.715234296033262	269	13375	0.9264	0.9264
20220522 132301	2	111	0.672354066358541	373	18866	0.977	0.851226666666667
20220522 132315	4	84	0.703068715308169	420	12348	0.7368	0.7368
20220522 132342	7	99	0.422305958838491	442	23654	0.895	0.737306666666667
20220522 132411	2	10	0.649023523411794	463	6906	0.3752	0.3752
20220522 132413	1	85	0.806504775754435	433	17160	0.962	0.8476
20220522 132416	1	160	0.839593788957223	890	30240	0.997	0.7954
20220522 132429	2	136	0.528256590811413	839	38450	0.999	0.742666666666667
20220522 132433	2	159	0.411826147397187	737	51076	1	0.659493333333333
20220522 132510	1	83	0.809041149677442	319	14361	0.9444	0.9444
20220522 132518	2	50	0.713703746736138	386	9924	0.8282	0.8282
20220522 132521	2	89	0.731559197263499	412	14187	0.9458	0.9458
20220522 132527	3	57	0.702402308803168	442	9249	0.7576	0.7576
20220522 132544	4	90	0.420785708022473	682	27264	0.9852	0.80344
20220522 132614	1	75	0.837397091276336	119	9523	0.7658	0.7658
20220522 132616	1	78	0.784250706692999	383	16226	0.9516	0.843426666666667
20220522 132618	1	87	0.714335120931463	428	21112	0.9772	0.836453333333333
20220522 132620	1	168	0.783268996042039	675	31650	0.9986	0.7876
20220522 132646	4	75	0.432995466753539	430	19825	0.9634	0.831233333333333
20220522 132736	2	113	0.701608592455133	294	17336	0.9642	0.848626666666667
20220522 132737	2	142	0.70574805747372	245	20665	0.9696	0.831833333333333
20220522 132748	3	129	0.709251803790369	498	19296	0.9602	0.83156
20220522 132752	3	79	0.409616013667262	578	27464	0.9892	0.806106666666667
20220522 132810	12	74	0.533167318140623	886	-1	0	0
20220522 132844	1	186	0.468253410464504	84	23052	0	-0.15368
20220522 132854	2	99	0.459179678910173	62	17044	4e-04	-0.113226666666667
20220522 132859	2	122	0.433007658870844	656	40146	0.9988	0.73116
20220522 132905	3	160	0.648144745449244	846	26904	0.9914	0.81204
20220522 132920	4	160	0.300338021091723	459	51496	0.9958	0.652493333333333
20220522 132953	1	81	0.806159241674509	315	14400	0.9492	0.9492
20220522 133006	2	117	0.743438125123216	677	19481	0.9722	0.842326666666667
20220522 133008	2	138	0.617281725787988	412	25224	0.9932	0.82504
20220522 133012	28	102	0.862833201432905	263	-1	0	0
20220522 133034	10	187	0.609460812876969	750	-1	0	0
20220522 133117	2	104	0.731302145810532	289	15231	0.953	0.85146
20220522 133117	2	108	0.731202726819367	305	15851	0.9538	0.848126666666667
20220522 133121	2	174	0.632434228612815	270	27618	0.9714	0.78728
20220522 133128	3	84	0.625241571108626	517	15353	0.939	0.836646666666667
20220522 133130	3	101	0.559793545448174	394	19615	0.9784	0.847633333333333
20220522 133222	2	73	0.630412162354511	463	16483	0.9514	0.841513333333333
20220522 133225	2	125	0.604226705986778	389	23724	0.9882	0.83004
20220522 133231	3	62	0.621455400606575	348	11574	0.8724	0.8724
20220522 133232	3	72	0.62930225700173	517	13457	0.896	0.896
20220522 133257	36	30	0.401081180833673	716	-1	0	0
20220522 133338	1	141	0.62894062409735	994	50878	0.9988	0.659613333333333
20220522 133340	2	86	0.714621363371527	391	14222	0.9366	0.9366
20220522 133412	43	57	0.538624379450518	864	-1	0	0
20220522 133414	4	149	0.314205303546484	643	50008	0.9992	0.665813333333333
20220522 133443	18	14	0.19416636425634	97	-1	0	0
20220522 133511	1	39	0.833110516874101	956	20152	0.781	0.646653333333333
