timestamp, cp, minsplit, minbucket, maxdepth, ganancia_promedio
2022-05-14 20:41:42, -0.4, 500, 50, 7, 9242666.66666667
2022-05-14 20:41:59, -0.4, 500, 50, 9, 8189333.33333333
2022-05-14 20:42:21, -0.4, 500, 50, 11, 7662000
2022-05-14 20:42:42, -0.4, 500, 50, 13, 7372666.66666667
2022-05-14 20:42:50, -0.4, 500, 10, 3, 9196666.66666667
2022-05-14 20:43:00, -0.4, 500, 10, 5, 9478000
2022-05-14 20:43:12, -0.4, 500, 10, 7, 9480000
2022-05-14 20:43:27, -0.4, 500, 10, 9, 8670000
2022-05-14 20:43:45, -0.4, 500, 10, 11, 8301333.33333333
2022-05-14 20:44:05, -0.4, 500, 10, 13, 7874666.66666667
2022-05-14 20:44:12, -0.4, 200, 100, 3, 9323333.33333333
2022-05-14 20:44:22, -0.4, 200, 100, 5, 10126666.6666667
2022-05-14 20:44:36, -0.4, 200, 100, 7, 9444666.66666667
2022-05-14 20:44:52, -0.4, 200, 100, 9, 8792000
2022-05-14 20:45:11, -0.4, 200, 100, 11, 8070000
2022-05-14 20:45:31, -0.4, 200, 100, 13, 7398000
2022-05-14 20:45:38, -0.4, 200, 50, 3, 9323333.33333333
2022-05-14 20:45:49, -0.4, 200, 50, 5, 9768666.66666667
2022-05-14 20:46:03, -0.4, 200, 50, 7, 9278666.66666667
2022-05-14 20:46:18, -0.4, 200, 50, 9, 8289333.33333333
2022-05-14 20:46:36, -0.4, 200, 50, 11, 7104000
2022-05-14 20:46:56, -0.4, 200, 50, 13, 5941333.33333333
2022-05-14 20:47:03, -0.4, 200, 10, 3, 9196666.66666667
2022-05-14 20:47:12, -0.4, 200, 10, 5, 9478000
2022-05-14 20:47:25, -0.4, 200, 10, 7, 9414000
2022-05-14 20:47:40, -0.4, 200, 10, 9, 8642000
2022-05-14 20:47:59, -0.4, 200, 10, 11, 7339333.33333333
2022-05-14 20:48:19, -0.4, 200, 10, 13, 7244000
2022-05-14 20:48:26, -0.4, 100, 50, 3, 9323333.33333333
2022-05-14 20:48:36, -0.4, 100, 50, 5, 9868666.66666667
2022-05-14 20:48:50, -0.4, 100, 50, 7, 9213333.33333333
2022-05-14 20:49:06, -0.4, 100, 50, 9, 7550000
2022-05-14 20:49:23, -0.4, 100, 50, 11, 5932000
2022-05-14 20:49:42, -0.4, 100, 50, 13, 4363333.33333333
2022-05-14 20:49:49, -0.4, 100, 10, 3, 9196666.66666667
2022-05-14 20:49:58, -0.4, 100, 10, 5, 9530666.66666667
2022-05-14 20:50:11, -0.4, 100, 10, 7, 9564666.66666667
2022-05-14 20:50:29, -0.4, 100, 10, 9, 8752000
2022-05-14 20:50:50, -0.4, 100, 10, 11, 7482000
2022-05-14 20:51:12, -0.4, 100, 10, 13, 7012666.66666667
2022-05-14 20:51:19, -0.4, 50, 10, 3, 9196666.66666667
2022-05-14 20:51:29, -0.4, 50, 10, 5, 9545333.33333333
2022-05-14 20:51:41, -0.4, 50, 10, 7, 9636666.66666667
2022-05-14 20:51:54, -0.4, 50, 10, 9, 8776000
2022-05-14 20:52:10, -0.4, 50, 10, 11, 7581333.33333333
2022-05-14 20:52:30, -0.4, 50, 10, 13, 7052666.66666667
2022-05-14 20:52:37, -0.5, 1000, 200, 3, 9321333.33333333
2022-05-14 20:52:46, -0.5, 1000, 200, 5, 10188000
2022-05-14 20:53:00, -0.5, 1000, 200, 7, 9534000
2022-05-14 20:53:17, -0.5, 1000, 200, 9, 9676666.66666667
2022-05-14 20:53:35, -0.5, 1000, 200, 11, 9566000
2022-05-14 20:53:54, -0.5, 1000, 200, 13, 9566000
2022-05-14 20:54:01, -0.5, 1000, 100, 3, 9323333.33333333
2022-05-14 20:54:11, -0.5, 1000, 100, 5, 10296666.6666667
2022-05-14 20:54:24, -0.5, 1000, 100, 7, 9664666.66666667
2022-05-14 20:54:38, -0.5, 1000, 100, 9, 9482000
2022-05-14 20:54:55, -0.5, 1000, 100, 11, 9227333.33333333
2022-05-14 20:55:13, -0.5, 1000, 100, 13, 9165333.33333333
